SMILES	Label
CN(c1ccc(cc1)N=Nc1ccccc1)C	1
CC(=O)Nc1cccc2c1c1ccccc1C2	0
c1cc2ccc3c4c2c(c1)ccc4ccc3	0
ClC(Cl)Cl	1
CC/C(=C(\c1ccc(cc1)O)/CC)/c1ccc(cc1)O	1
O=N(=O)c1cc[n+](c2c1cccc2)[O-]	1
Nc1ccc2c(c1)cccc2	1
Nc1ccc(cc1)c1ccc(cc1)N	1
CC(=O)Nc1ccc2c(c1)Cc1c2cccc1	1
c1ccc2c(c1)c1ccc3c4c1c(c2)ccc4ccc3	1
OS(=O)(=O)O.NN	1
CN(P(=O)(N(C)C)N(C)C)C	1
O=NN(c1ccccc1)c1ccccc1	1
S=C1NCCN1	1
CC1CC(=O)O1	1
C=CCc1ccc2c(c1)OCO2	1
O=CN(C)C	0
CCSCC[C@@H](C(=O)O)N.CCSCC[C@H](C(=O)O)N	1
ClCC1CO1	1
O=NN1CCOCC1	1
CC(OC(=O)Nc1cccc(c1)Cl)C	0
C1COC1=O	1
CC(Cl)(Cl)Cl	0
CCOC(=O)N	1
CN(C(=O)Cl)C	1
ClCCN(P1(=O)NCCCO1)CCCl	1
Nc1ccc(cc1Cl)Cc1ccc(c(c1)Cl)N	1
CC(=O)OCN=N(=O)C	1
OC[C@H]1O[C@]([C@H]([C@@H]1O)O)(CO)O[C@@H]1O[C@@H](CO)[C@H]([C@H]([C@@H]1O)O)O	0
OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O	0
Cc1ccccc1N	1
CN(c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C)C	1
C=CCN=C=S	1
C=CCOC(=O)CC(C)C	1
NCCCCCCCCCCC(=O)O	1
c1ccccc1	1
CC(=O)OCc1ccccc1	0
Nc1ccccc1c1ccccc1	1
ClCC(OC(CCl)C)C	1
C=CC=C	1
Clc1ccccc1	1
ClC(Br)Br	1
CC(=O)Nc1ccc(cc1)N=Nc1cc(C)ccc1O	1
Oc1ccc2c(c1/N=N/c1ccccc1)cccc2	1
COc1ccc(cc1)C(=O)/C(=C\C(=O)[O-])/Br.[Na+]	1
Cc1cc(/N=N/c2c(O)ccc3c2cccc3)c(cc1Cl)S(=O)(=O)[O-].Cc1cc(/N=N/c2c(O)ccc3c2cccc3)c(cc1Cl)S(=O)(=O)[O-].[Ba+2]	1
ClCC(CBr)Br	1
BrCCBr	1
Nc1cc(Cl)c(c(c1)Cl)N	1
ClCC(Cl)C	1
CCCCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CC	1
CCCCC(COC(=O)c1ccccc1C(=O)OCC(CCCC)CC)CC	1
O1CC1COc1cccc(c1)OCC1OC1	1
CCOC(=O)C=C	1
OCCN(c1ccc(c(c1)[N+](=O)[O-])NC)CCO	1
Clc1c(Cl)cc2c(c1Cl)Oc1c(O2)cc(c(c1Cl)Cl)Cl	0
Nc1nc(N)nc(n1)N	1
Nc1ccc(cc1)Cc1ccc(cc1)N	1
CN(C(=O)Nc1ccc(cc1)Cl)C	1
Nc1ccc(cc1)Oc1ccc(cc1)N	1
ClC(C(Cl)(Cl)Cl)Cl	1
CC1CO1	1
ClCC=CCl	1
Clc1cc2Oc3cc(Cl)c(cc3Oc2cc1Cl)Cl	1
ClCC(Cl)(Cl)Cl	1
O=C=Nc1cccc(c1C)N=C=O.O=C=Nc1ccc(c(c1)N=C=O)C	1
ClC=C(Cl)Cl	1
CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC	1
Cc1cccc(c1N)C	1
C[C@H]1CCCC(=O)CCC/C=C\c2c(C(=O)O1)c(O)cc(c2)O	1
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1	1
C=CCOC(=O)c1ccccc1C(=O)OCC=C	1
C=CCc1ccc(c(c1)OC)O	1
OC(C(=O)c1ccccc1)c1ccccc1	0
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C	1
CCCCC(COS(=O)(=O)O[Na])CC	1
O=C1CCCCCN1	0
OCCCl	0
CC(=CCOC(=O)C)CCC=C(C)C	0
Clc1ccccc1Cl	0
OCCNc1ccc(cc1[N+](=O)[O-])N(CCO)CCO	0
Oc1cccc2c1nccc2	0
OC[C@@H]([C@H]([C@@H]([C@H](CO)O)O)O)O	0
Oc1ccccc1	0
CC=C	0
CCCOC(=O)c1cc(O)c(c(c1)O)O	1
Nc1cccc(c1C)N	0
ClC(=C)Cl	0
O=C(NS(=O)(=O)c1ccc(cc1)C(=O)C)NC1CCCCC1	0
CNC(=O)ON=CC(SC)(C)C	0
Clc1nc(nc(n1)Cl)Nc1ccccc1Cl	0
OCc1ccc(cc1)N.Cl	1
OC(=O)c1ccccc1N	0
Cc1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C	0
CCC(C(=O)NC(=O)N)(CC)Br	0
ClCC(=O)c1ccc(cc1)NC(=O)C	0
ClCC[N+](C)(C)C.[Cl-]	0
ClCc1ccccn1	0
OS(=O)(=O)O.Nc1ccc(c(c1)Cl)N	0
CCCNC(=O)NS(=O)(=O)c1ccc(cc1)Cl	0
CCOP(=S)(Oc1ccc2c(c1)oc(=O)c(c2C)Cl)OCC	0
CCOP(=S)(Oc1cc(C)nc(n1)C(C)C)OCC	0
c1ccc2c(c1)Oc1c(O2)cccc1	0
COP(=O)(OC=C(Cl)Cl)OC	1
S=C(NC1CCCCC1)NC1CCCCC1	0
CNC(=O)CSP(=S)(OC)OC	0
COc1ccc(c(c1)OC)N	0
COC(=O)c1ccc(cc1)C(=O)OC	1
[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])C	1
CCOP(=S)(SC1OCCO[C@H]1SP(=S)(OCC)OCC)OCC	0
ClC1=C(Cl)[C@@]2(C([C@]1(Cl)C1C2C2CC1C1C2O1)(Cl)Cl)Cl	0
CCc1nccc(c1)C(=S)N	0
IC(I)I	0
O[C@@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@@]2([C@H]1CC[C@H]2[C@@H](CCC(=O)O)C)C)C	0
CCOC(=O)CC(C(=O)OCC)SP(=O)(OC)OC	0
CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC	0
CC1CCC(C(C1)O)C(C)C.CC1CCC(C(C1)O)C(C)C	0
COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC	0
COP(=S)(Oc1ccc(cc1)[N+](=O)[O-])OC	0
CNC(=O)Oc1cc(C)c(c(c1)C)N(C)C	0
NCCNc1cccc2c1cccc2	0
OC(=O)c1ccc(cc1N)[N+](=O)[O-]	0
[O-][N+](=O)c1cccc2c1cccc2	0
[O-][N+](=O)c1ccc(c(c1)N)N	0
[O-][N+](=O)CCC(=O)O	1
Clc1c(Cl)c([N+](=O)[O-])c(c(c1Cl)Cl)Cl	0
N=C(NC(=N)N)NCCc1ccccc1	0
Nc1ccc(cc1)N	0
O=C1CC(=NN1c1ccccc1)C	0
Nc1ccc(cc1)Nc1ccccc1	0
NC(=S)Nc1ccccc1	0
NC(=O)c1ccccc1C(=O)N	0
O=C1OC(=O)c2c1cccc2	0
CCCCOCCOCCOCc1cc2OCOc2cc1CCC	0
COc1c(Cl)c(Cl)c(c(c1Cl)Cl)[N+](=O)[O-]	0
CCN(C(=S)SSC(=S)N(CC)CC)CC	0
O=C(NS(=O)(=O)c1ccc(cc1)C)NN1CCCCCC1	0
CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C	0
OS(=O)(=O)O.Nc1ccc(c(c1)C)N	0
[Na]OC(=O)CN(CC(=O)O)CCN(CC(=O)O[Na])CC(=O)O[Na]	0
OC(=O)[C@@H](Cc1c[nH]c2c1cccc2)N	0
Nc1ccc2c(c1)C(=O)c1c(C2=O)cccc1	1
CCOc1ccc(cc1N)NC(=O)C	1
CCn1c2ccc(cc2c2c1cccc2)N	1
O=C1c2ccccc2C(=O)c2c1ccc(c2N)C	1
Nc1ccc(c(c1)[N+](=O)[O-])O	1
[O-][N+](=O)c1cnc(s1)N	1
Nc1ccccc1.Cl	1
COc1ccccc1N	1
COP(=S)(SCn1nnc2c(c1=O)cccc2)OC	1
c1ccc(cc1)/N=N/c1ccccc1	1
c1ccc2c(c1)[nH]nn2	1
CCCCCl	0
[Ca]=NC#N	0
ClC1CC2C(C1Cl)[C@@]1(C([C@@]2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl	1
OC(=O)[C@@H]1[C@H](C(=O)O)[C@]2(C([C@]1(Cl)C(=C2Cl)Cl)(Cl)Cl)Cl	1
Nc1ccc(cc1)Cl.Cl	1
CCOC(=O)C(c1ccc(cc1)Cl)(c1ccc(cc1)Cl)O	1
CC(=C)CCl	1
ClCc1cccnc1	1
Nc1ccc(c(c1)N)Cl	1
Clc1ccc(c(c1)N)N	1
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl	1
Nc1ccc(c(c1)Cl)C	0
Clc1ccc(c(c1)C)N	1
Clc1ccc(c(c1)N)C	1
O=C(c1ccccc1N)OC/C=C/c1ccccc1	1
COc1ccc(c(c1)C)N	1
COc1ccc(cc1N)C	1
O=NN(c1ccccc1)[O-]	1
Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)N	1
ClC(=C(c1ccc(cc1)Cl)c1ccc(cc1)Cl)Cl	1
Brc1c(Oc2c(Br)c(Br)c(c(c2Br)Br)Br)c(Br)c(c(c1Br)Br)Br	1
COc1ccc(cc1N)N	1
Nc1ccc(c(c1)N)C	1
Clc1ccc2c(c1)Oc1c(O2)cc(cc1)Cl	1
OC(C(Cl)(Cl)Cl)(c1ccc(cc1)Cl)c1ccc(cc1)Cl	1
CCNC(=S)NCC	1
O=C=Nc1ccc(cc1OC)c1ccc(c(c1)OC)N=C=O	1
COP(=O)(N1CCOCC1)OC	1
O1CCOCC1	1
Nc1ccc(c(c1)N)/N=N/c1ccc(cc1)c1ccc(cc1)/N=N/c1c(N)c2c(cc1S(=O)(=O)[O-])cc(c(c2O)/N=N/c1ccccc1)S(=O)(=O)[O-].[Na+].[Na+]	1
Nc1cc(cc2c1c(O)c(c(c2)S(=O)(=O)[O-])/N=N/c1ccc(cc1)c1ccc(cc1)/N=N/c1c(O)c2c(N)cc(cc2cc1S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+]	1
O=C1c2c(N)ccc(c2C(=O)c2c1c(N)ccc2N)N	1
NC(=S)NNC(=S)N	1
