CMPD_CHEMBLID,MOLWEIGHT,mol,VALUE,ty,label,,
CHEMBL3889630,412.45999,Fc1c(C(=O)N2CCN(C(=O)C)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.1,KI,1,,
CHEMBL3933136,346.79001,Clc1c(C)cc(-c2c(OCCN)c3c(c(O)n2)cc(F)cc3)cc1,0.2,IC50,1,,
CHEMBL3958202,398.44,Fc1c(C(=O)N2CC(=O)N(C)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.30000001,KI,1,,
CHEMBL2322618,468.48999,Fc1c(C(=O)N2C3c4c(C(=O)NC3)cccc4CC2)cc(CC2=NNC(=O)c3c2cccc3)cc1,0.31,IC50,1,,
CHEMBL595679,389.5,O=C(CN1CCC(c2ccccc2)CC1)N1C2c3c(C(=O)NC2)cccc3CC1,0.5,IC50,1,,
CHEMBL3985672,504.51999,Fc1c(N2C(=O)[C@@H](N=C(OCc3ccccc3)O)CC2=O)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.5,KI,1,,
CHEMBL3919265,505.54999,Fc1c(C(=O)N2CCN(C(=O)COc3ccccc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.5,KI,1,,
CHEMBL3137320,380.35999,Fc1cc2C(=O)NN=C3[C@@H]([C@@H](c4ccc(F)cc4)Nc(c23)c1)c1n(C)ncn1,0.56999999,IC50,1,,
CHEMBL3920948,462.53,Fc1c(N=C(O)CCCC(O)=Nc2ccccc2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.60000002,KI,1,,
CHEMBL3975785,533.56,Fc1c(C(=O)N2CCN(C(=O)C3Oc4c(OC3)cccc4)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.60000002,KI,1,,
CHEMBL3959275,465.48999,Fc1c(C(=O)N2CCN(C(=O)c3n[nH]cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.60000002,KI,1,,
CHEMBL3940935,528.59003,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]c(C)nc4cc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.60000002,KI,1,,
CHEMBL3910874,492.51001,Fc1c(C(=O)N2CCN(C(=O)c3cnc(O)cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.60000002,KI,1,,
CHEMBL3953479,440.51999,Fc1c(C(=O)N(CCN=C(O)C2CC2)CC)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.60000002,KI,1,,
CHEMBL591515,525.37,Clc1c(Cl)cc2C(=O)NC=C(Cc3cc(C(=O)N4CCN(c5c(C#N)cccn5)CC4)c(F)cc3)n12,0.69999999,IC50,1,,
CHEMBL3909439,356.39999,Fc1c(N=C(O)C2CNC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.69999999,KI,1,,
CHEMBL3940575,463.51001,Fc1c(N=C(O)CCC(=O)c2ccc(OC)cc2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.69999999,KI,1,,
CHEMBL3980638,467.54999,Fc1c(C(=O)N2CCN(C(=O)C3CCCC3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.69999999,KI,1,,
CHEMBL3934255,515.54999,Fc1c(C(=O)N2CCN(C(=O)c3cc4[nH]cnc4cc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.69999999,KI,1,,
CHEMBL3901842,510.95999,Clc1ncc(C(=O)N2CCN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4NCCC5)c3)CC2)cc1,0.69999999,KI,1,,
CHEMBL1986530,448.5,Fc1c(C(=O)N2CCN(c3ncccn3)CC2)cc(CC2=NNC(=O)C3=C2CCCC3)cc1,0.69999999,KI,1,,
CHEMBL3926688,463.54001,S(=O)(=O)(CC)N1CCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3NCCC4)c2)CC1,0.69999999,KI,1,,
CHEMBL3927171,367.38,Fc1c(N2C(=O)C3C(C2=O)C3)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.69999999,KI,1,,
CHEMBL3960376,356.35999,Fc1c(N2C(O)=NCC2=O)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.69999999,KI,1,,
CHEMBL3975124,541.60999,S(=O)(=O)(N1CCN(C(=O)c2c(F)ccc(Cc3nnc(O)c4c3NCCC4)c2)CC1)c1ccc(OC)cc1,0.69999999,KI,1,,
CHEMBL3907010,486.42999,FC(F)(F)c1n2C(C)CN(C(=O)c3c(F)ccc(Cc4nnc(O)c5c4cccc5)c3)Cc2nn1,0.74000001,IC50,1,,
CHEMBL3954548,484.53,Fc1c(C(=O)N2CC(N(C=O)CC2)N2CCOCC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.80000001,KI,1,,
CHEMBL3896362,526.57001,Fc1c(C(=O)N2CCN(C(=O)c3cnc4c(c3)cccc4)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.80000001,KI,1,,
CHEMBL3965762,465.48999,Fc1c(C(=O)N2CCN(C(=O)c3occc3)CC2)cc(Cc2nnc(O)c3c2NCCC3)cc1,0.80000001,KI,1,,
CHEMBL3889976,430.51001,O=C(N1CCN(c2ncccn2)CC1)c1cc(Cc2nnc(O)c3c2CCCC3)ccc1,0.80000001,KI,1,,
CHEMBL3934902,448.5,Fc1c(C(=O)N2CCN(c3nccnc3)CC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.80000001,KI,1,,
CHEMBL3982603,412.45999,Fc1c(C(O)=NCCN2C(=O)CCC2)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.80000001,KI,1,,
CHEMBL3917181,369.39999,Fc1c(N2C(=O)CCCC2=O)cc(Cc2nnc(O)c3c2CCCC3)cc1,0.80000001,KI,1,,
CHEMBL1173055,323.37,Fc1cc2[nH]c(-c3ccc(CNC)cc3)c3c2c(C(=O)NCC3)c1,0.80440003,IC50,1,,
CHEMBL521686,434.47,Fc1c(C(=O)N2CCN(C(=O)C3CC3)CC2)cc(CC2=NNC(=O)c3c2cccc3)cc1,0.89999998,IC50,1,,
CHEMBL3919533,298.32001,Fc1cc2[nH]c3[C@@]4(C)N(CC5=NN=C(O)c(c2c35)c1)CCC4,0.89999998,IC50,1,,
